Quantify Compound Summary Report 

Printed Fri Nov 15 20:11:10 2024

Compound 1:  MITRAGYNINE

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
1	1	112719_Female_MitragynineHCl_PK_CS0		2:H,10		2.11	756							10978.000	
2	2	112719_Female_MitragynineHCl_PK_CS0_IS		2:H,11		2.10	724	174355	0.004	0.042				10873.000	
3	3	112719_Female_MitragynineHCl_PK_CS1	Standard	1:A,1	1.000	2.10	7342	178638	0.041	0.411	1.06	5.6		23738.919	
4	4	112719_Female_MitragynineHCl_PK_CS2	Standard	1:A,2	2.500	2.10	13381	177223	0.076	0.755	2.27	-9.2		208338.000	
5	5	112719_Female_MitragynineHCl_PK_CS3	Standard	1:A,3	5.000	2.10	24423	175962	0.139	1.388	4.50	-9.9		378398.000	
6	6	112719_Female_MitragynineHCl_PK_CS4	Standard	1:A,4	20.000	2.10	81833	174938	0.468	4.678	16.12	-19.4		433225.364	
7	7	112719_Female_MitragynineHCl_PK_CS5	Standard	1:A,5	50.000	2.10	247374	175735	1.408	14.077	49.30	-1.4		3813686.000	
8	8	112719_Female_MitragynineHCl_PK_CS6	Standard	1:A,6	100.000	2.10	522725	178964	2.921	29.208	102.71	2.7		8037641.000	
9	9	112719_Female_MitragynineHCl_PK_CS7	Standard	1:A,7	150.000	2.10	794479	178363	4.454	44.543	156.84	4.6		12226274.000	
10	10	112719_Female_MitragynineHCl_PK_CS8	Standard	1:A,8	200.000	2.10	1100607	180152	6.109	61.093	215.27	7.6		16846816.000	
11	11	112719_Female_MitragynineHCl_PK_CS0_IS2		2:H,11		2.10	388	176969	0.002	0.022				5764.000	
12	12	112719_Female_MitragynineHCl_PK_LLOQ1	QC	1:A,9	1.000	2.10	14097	177286	0.080	0.795	2.41	141.2		218247.000	
13	13	112719_Female_MitragynineHCl_PK_LQC1	QC	1:A,10	3.000	2.10	15230	174282	0.087	0.874	2.69	-10.3		235608.000	
