Quantify Compound Summary Report 

Printed Wed Oct 30 12:27:59 2024

Compound 1:  NEU7032

	#	Name	Type	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	S/N	Vial	Conc. Dev. Flagged	%Dev
1	1	07182024_NEU_BLK_ACN1			3.09	9434					276.358	1:A,1	NO	
2	2	07182024_NEU_BLK_ACN2			3.09	8430	42.987	196.09424	3921.885	635.9	388.993	1:A,1	NO	
3	3	07182024_NEU_BLK_ACN3										1:A,1		
4	4	07182024_NEU_SST1A			3.09	1002095	35065.637	28.57770	571.554	92.6	32382.000	1:E,4	NO	
5	5	07182024_NEU_SST2A			3.10	994197	34012.875	29.23000	584.600	94.7	65834.570	1:E,4	NO	
6	6	07182024_NEU_SST3A			3.09	1000379	33119.914	30.20477	604.095	97.9	59395.108	1:E,4	NO	
7	7	07182024_NEU_SST4A			3.09	1006333	33257.398	30.25891	605.178	98.0	48860.993	1:E,4	NO	
8	8	07182024_NEU_SST5A			3.09	993935	33386.211	29.77083	595.417	96.5	48845.139	1:E,4	NO	
9	9	07182024_NEU_BLK_ACN4	Blank		3.09	8449	19.236	439.20659	8784.132	1424.3	442.341	1:A,1	NO	
10	10	07182024_NEU_PK_BLK_PLASMA1			3.09	685	24.528	27.92299	558.460	90.5	40.019	1:E,2	NO	
11	11	07182024_NEU_PK_BLK_PLASMA_WITH_IS			3.10	727	34600.398	0.02100	0.420		29.868	1:E,3	NO	
12	12	07182024_NEU_PK_CS_PLASMA__1NG_1	Standard	1.000	3.09	11233	33587.129	0.33443	6.689	1.0	443.517	1:E,5	NO	-1.1
13	13	07182024_NEU_PK_CS_PLASMA__2NG_2	Standard	2.000	3.09	21253	33114.176	0.64182	12.836	2.0	1273.104	1:E,6	NO	-0.7
14	14	07182024_NEU_PK_CS_PLASMA__5NG_3	Standard	5.000	3.09	54338	33920.789	1.60192	32.038	5.1	3022.702	1:E,7	NO	2.0
15	15	07182024_NEU_PK_CS_PLASMA__10NG_4	Standard	10.000	3.09	117700	34527.488	3.40889	68.178	11.0	5308.429	1:E,8	NO	9.6
16	16	07182024_NEU_PK_CS_PLASMA__20NG_5	Standard	20.000	3.09	225232	35242.773	6.39088	127.818	20.6	12808.399	1:E,9	NO	3.2
17	17	07182024_NEU_PK_CS_PLASMA__50NG_6	Standard	50.000	3.09	546180	34934.207	15.63452	312.690	50.6	20450.141	1:E,10	NO	1.2
18	18	07182024_NEU_PK_CS_PLASMA__100NG_7	Standard	100.000	3.09	1062481	35081.051	30.28647	605.729	98.1	70276.046	1:E,11	NO	-1.9
19	19	07182024_NEU_PK_CS_PLASMA__200NG_8	Standard	200.000	3.09	1892296	34964.145	54.12103	1082.421	175.4	83483.575	1:E,12	NO	-12.3
20	20	07182024_NEU_PK_BLK_PLASMA2			3.09	2329	11.505	202.39261	4047.852	656.3	106.969	1:E,2	NO	
21	21	07182024_NEU_PK_LLOQ_1	QC	1.000	3.09	13007	34763.664	0.37414	7.483	1.1	985.825	1:F,1	NO	11.8
22	22	07182024_NEU_PK_LQC_1	QC	3.000	3.09	29943	33839.535	0.88487	17.697	2.8	2562.637	1:F,2	NO	-7.5
23	23	07182024_NEU_PK_MQC_1	QC	90.000	3.09	975656	33111.543	29.46575	589.315	95.5	15746.275	1:F,3	NO	6.1
24	24	07182024_NEU_PK_HQC_1	QC	180.000	3.09	2120982	33601.160	63.12228	1262.446	204.6	104169.955	1:F,4	NO	13.7
25	25	07182024_NEU_PK_BLK_PLASM3			3.09	952	12.823	74.26827	1485.365	240.8	29.506	1:E,2	NO	
26	26	07182024_NEU_PK_BLK_PLASM4			3.09	1880	561.219	3.35013	67.003	10.8	53.468	1:E,2	NO	
27	27	07182024_NEU_PK_LLOQ_2	QC	1.000	3.09	11114	39132.496	0.28402	5.680	0.8	686.776	1:F,5	NO	-17.5
