Type,response,S/N,conc,actual_conc
,,276.358,,
,3921.885,388.993,,635.9
,,,,
,571.554,32382,,92.6
,584.6,65834.57,,94.7
,604.095,59395.108,,97.9
,605.178,48860.993,,98
,595.417,48845.139,,96.5
Blank,8784.132,442.341,,1424.3
,558.46,40.019,,90.5
,0.42,29.868,,
Standard,6.689,443.517,1,1
Standard,12.836,1273.104,2,2
Standard,32.038,3022.702,5,5.1
Standard,68.178,5308.429,10,11
Standard,127.818,12808.399,20,20.6
Standard,312.69,20450.141,50,50.6
Standard,605.729,70276.046,100,98.1
Standard,1082.421,83483.575,200,175.4
,4047.852,106.969,,656.3
QC,7.483,985.825,1,1.1
QC,17.697,2562.637,3,2.8
QC,589.315,15746.275,90,95.5
QC,1262.446,104169.955,180,204.6
,1485.365,29.506,,240.8
,67.003,53.468,,10.8
QC,5.68,686.776,1,0.8
QC,16.398,1666.893,3,2.6
QC,555.906,45310.088,90,90.1
QC,1118.205,68954.957,180,181.2
,1585.715,86.059,,257
,1545.156,47.235,,250.5
,7539.708,193123.967,,1222.5
,7885.646,223225.555,,1278.6
,3442.528,220955.763,,558.1
,22605.748,308.066,,3665.7
QC,8.096,677.86,1,1.2
QC,19.173,1522.051,3,3
QC,524.673,46928.212,90,85
QC,1123.61,79393.119,180,182.1
,4659.095,102.964,,755.4
,1.037,138.837,,0.1
,0.93,100.018,,0.1
,1.711,131.333,,0.2
,772.136,11.941,,125.1
QC,5.385,796.768,1,0.8
QC,17.917,1567.411,3,2.8
QC,510.782,32575.5,90,82.7
QC,1150.602,144633.755,180,186.5
,,,,
,,,,
,11432.577,478.43,,1853.8
,8671.941,751.382,,1406.1
,800.803,78161.92,,129.8
,878.664,92385.802,,142.4
,385.893,36762.395,,62.5
,1197.423,74.404,,194.1
QC,6.563,487.076,1,1
QC,15.641,2219.23,3,2.4
QC,536.86,28709.673,90,87
QC,1137.338,47329.676,180,184.3
,2886.922,132.279,,468
,0.655,55.246,,0
,0.602,80.869,,0
,0.46,61.439,,
,1083.83,15.603,,175.7
QC,5.385,796.768,1,0.8
QC,17.917,1567.411,3,2.8
QC,510.782,32575.5,90,82.7
QC,1150.602,144633.755,180,186.5
,11605.43,171.201,,1881.8
,9667.433,463785.031,,1567.6
,10369.552,669187.121,,1681.4
,10991.275,550006.819,,1782.3
,19.679,924.284,,3.1
,8.34,502.809,,1.3
,5.929,510.564,,0.9
,31219.321,660.042,,5062.4
,71862.306,785.885,,11653.1
,21416.181,735.309,,3472.8
