filename,,,,,vial,injec_vol,,conc,type
07172024_NEU_BLANK,,NEU7369,03132023_Full_Gradient,Default,"1:A,1",2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
07182024_NEU_BLK_ACN1,,NEU7369,03132023_Full_Gradient,Default,"1:A,1",2,0,,
07182024_NEU_BLK_ACN2,,NEU7369,03132023_Full_Gradient,Default,"1:A,1",2,0,,
07182024_NEU_BLK_ACN3,,NEU7369,03132023_Full_Gradient,Default,"1:A,1",2,0,,
07182024_NEU_SST1A,,NEU7369,03132023_Full_Gradient,Default,"1:E,4",2,0,,
07182024_NEU_SST2A,,NEU7369,03132023_Full_Gradient,Default,"1:E,4",2,0,,
07182024_NEU_SST3A,,NEU7369,03132023_Full_Gradient,Default,"1:E,4",2,0,,
07182024_NEU_SST4A,,NEU7369,03132023_Full_Gradient,Default,"1:E,4",2,0,,
07182024_NEU_SST5A,,NEU7369,03132023_Full_Gradient,Default,"1:E,4",2,0,,
07182024_NEU_BLK_ACN4,,NEU7369,03132023_Full_Gradient,Default,"1:A,1",2,0,,Blank
07182024_NEU_PK_BLK_PLASMA1,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_PK_BLK_PLASMA_WITH_IS,,NEU7369,03132023_Full_Gradient,Default,"1:E,3",2,0,,
07182024_NEU_PK_CS_PLASMA__1NG_1,,NEU7369,03132023_Full_Gradient,Default,"1:E,5",2,0,1,Standard
07182024_NEU_PK_CS_PLASMA__2NG_2,,NEU7369,03132023_Full_Gradient,Default,"1:E,6",2,0,2,Standard
07182024_NEU_PK_CS_PLASMA__5NG_3,,NEU7369,03132023_Full_Gradient,Default,"1:E,7",2,0,5,Standard
07182024_NEU_PK_CS_PLASMA__10NG_4,,NEU7369,03132023_Full_Gradient,Default,"1:E,8",2,0,10,Standard
07182024_NEU_PK_CS_PLASMA__20NG_5,,NEU7369,03132023_Full_Gradient,Default,"1:E,9",2,0,20,Standard
07182024_NEU_PK_CS_PLASMA__50NG_6,,NEU7369,03132023_Full_Gradient,Default,"1:E,10",2,0,50,Standard
07182024_NEU_PK_CS_PLASMA__100NG_7,,NEU7369,03132023_Full_Gradient,Default,"1:E,11",2,0,100,Standard
07182024_NEU_PK_CS_PLASMA__200NG_8,,NEU7369,03132023_Full_Gradient,Default,"1:E,12",2,0,200,Standard
07182024_NEU_PK_BLK_PLASMA2,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_PK_LLOQ_1,,NEU7369,03132023_Full_Gradient,Default,"1:F,1",2,0,1,QC
07182024_NEU_PK_LQC_1,,NEU7369,03132023_Full_Gradient,Default,"1:F,2",2,0,3,QC
07182024_NEU_PK_MQC_1,,NEU7369,03132023_Full_Gradient,Default,"1:F,3",2,0,90,QC
07182024_NEU_PK_HQC_1,,NEU7369,03132023_Full_Gradient,Default,"1:F,4",2,0,180,QC
07182024_NEU_PK_BLK_PLASM3,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_PK_BLK_PLASM4,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_PK_LLOQ_2,,NEU7369,03132023_Full_Gradient,Default,"1:F,5",2,0,1,QC
07182024_NEU_PK_LQC_2,,NEU7369,03132023_Full_Gradient,Default,"1:F,6",2,0,3,QC
07182024_NEU_PK_MQC_2,,NEU7369,03132023_Full_Gradient,Default,"1:F,7",2,0,90,QC
07182024_NEU_PK_HQC_2,,NEU7369,03132023_Full_Gradient,Default,"1:F,8",2,0,180,QC
07182024_NEU_PK_BLK_PLASM5,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_PK_BLK_PLASM6,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_7032_IP_5MG_MICE_PK_30MIN,,NEU7369,03132023_Full_Gradient,Default,"1:G,7",2,0,,
